listing_id,date
88944,2011-10-21
88944,2012-01-29
88944,2012-04-03
88944,2012-06-03
88944,2012-07-06
88944,2012-07-25
88944,2012-08-02
88944,2012-12-02
88944,2013-10-06
88944,2013-11-12
88944,2014-01-31
88944,2014-04-01
88944,2014-05-17
88944,2014-06-25
88944,2014-09-01
88944,2014-09-20
88944,2014-10-12
88944,2014-11-16
88944,2014-12-03
88944,2014-12-23
88944,2015-01-31
88944,2015-03-03
88944,2015-03-12
88944,2015-04-03
88944,2015-04-18
88944,2015-05-30
88944,2015-06-23
88944,2015-07-31
88944,2015-08-19
88944,2015-09-20
88944,2015-10-06
88944,2015-10-19
88944,2015-11-07
88944,2015-11-20
88944,2015-11-29
88944,2015-12-15
88944,2016-01-06
88944,2016-02-29
88944,2016-03-17
88944,2016-03-29
88944,2016-04-18
88944,2016-04-26
88944,2016-05-03
88944,2016-05-16
88944,2016-05-28
88944,2016-06-15
88944,2016-06-20
88944,2016-06-26
88944,2016-07-08
88944,2016-07-17
88944,2016-07-28
88944,2016-08-10
88944,2016-08-22
88944,2016-09-05
88944,2016-09-11
88944,2016-09-18
88944,2016-10-02
88944,2016-10-11
88944,2016-10-20
88944,2016-10-24
88944,2016-11-05
88944,2016-12-08
88944,2016-12-13
88944,2016-12-18
88944,2017-01-11
88944,2017-01-16
88944,2017-01-25
88944,2017-02-02
88944,2017-02-08
88944,2017-02-12
88944,2017-02-17
88944,2017-03-12
88944,2017-03-19
88944,2017-03-25
88944,2017-04-04
88944,2017-04-10
88944,2017-04-15
88944,2017-04-23
88944,2017-05-01
88944,2017-05-14
88944,2017-05-25
88944,2017-06-03
88944,2017-06-10
88944,2017-06-25
88944,2017-07-05
88944,2017-07-09
88944,2017-07-15
88944,2017-08-07
88944,2017-08-17
88944,2017-08-22
88944,2017-08-27
88944,2017-09-04
88944,2017-09-10
88944,2017-10-04
88944,2017-10-11
88944,2017-10-15
88944,2017-10-21
88944,2017-10-25
88944,2017-11-10
88944,2017-11-15
88944,2017-11-21
88944,2017-11-28
88944,2017-12-09
88944,2017-12-16
88944,2017-12-27
88944,2018-01-13
88944,2018-01-19
88944,2018-01-27
88944,2018-02-12
88944,2018-02-26
88944,2018-03-07
88944,2018-03-16
88944,2018-03-23
88944,2018-04-01
88944,2018-04-21
88944,2018-05-03
88944,2018-05-20
88944,2018-05-25
88944,2018-06-04
88944,2018-06-30
88944,2018-07-08
88944,2018-07-18
88944,2018-07-22
88944,2018-07-31
88944,2018-08-11
88944,2018-08-23
88944,2018-09-02
88944,2018-09-12
88944,2018-09-23
88944,2018-10-16
88944,2018-11-08
88944,2018-11-30
88944,2018-12-27
88944,2018-12-31
88944,2019-01-20
88944,2019-01-29
88944,2019-02-25
88944,2019-03-23
88944,2019-04-15
88944,2019-04-23
88944,2019-05-05
88944,2019-05-12
88944,2019-06-01
88944,2019-06-10
88944,2019-06-20
88944,2019-07-02
88944,2019-08-12
88944,2019-08-20
88944,2019-10-05
88944,2019-10-14
88944,2019-10-23
88944,2019-11-13
88944,2019-11-22
88944,2019-12-03
88944,2019-12-19
88944,2019-12-29
88944,2020-01-22
88944,2020-02-29
88944,2021-12-19
88944,2022-01-22
88944,2022-02-12
88944,2022-03-31
88944,2022-04-16
88944,2022-05-15
88944,2022-05-27
88944,2022-05-31
88944,2022-06-17
88944,2022-07-14
88944,2022-08-04
88944,2022-08-21
88944,2022-09-06
88944,2022-09-11
88944,2022-10-27
88944,2022-11-15
88944,2022-11-19
88944,2022-12-02
88944,2022-12-12
88944,2022-12-24
88944,2023-01-10
88944,2023-01-15
88944,2023-03-01
88944,2023-03-15
88944,2023-03-21
88944,2023-03-27
88944,2023-04-15
88944,2023-04-22
88944,2023-04-28
88944,2023-05-09
88944,2023-05-28
88944,2023-06-06
88944,2023-06-14
88944,2023-06-29
88944,2023-07-10
88944,2023-07-18
88944,2023-07-26
88944,2023-08-02
88944,2023-08-18
88944,2023-08-27
88944,2023-09-09
88944,2023-09-30
88944,2023-10-16
88944,2023-11-08
88944,2023-12-05
88944,2023-12-13
88944,2023-12-23
88944,2024-01-03
88944,2024-01-28
88944,2024-03-03
88944,2024-04-25
88944,2024-05-05
88944,2024-05-27
88944,2024-06-04
88944,2024-07-20
88944,2024-07-28
88944,2024-08-08
88944,2024-08-17
88944,2024-08-27
88944,2024-09-10
88944,2024-09-23
88944,2024-10-05
88944,2024-10-26
88944,2024-11-09
88944,2024-12-07
90694,2011-06-06
90694,2011-07-16
90694,2011-08-12
90694,2011-08-15
90694,2011-08-25
90694,2011-09-10
90694,2011-11-20
90694,2011-12-04
90694,2011-12-12
90694,2011-12-24
90694,2012-02-08
90694,2012-03-15
90694,2012-03-23
90694,2012-04-18
90694,2012-08-02
90694,2012-09-04
90694,2012-09-14
